id,quarter,value,log_value,gdp_growth
FI,2019 Q3,443264.24600000004,13.001921363295896,1.34973845741737
FI,2019 Q4,396467.609,12.89034962441235,1.34973845741737
FI,2020 Q2,428686.422,12.968480979586234,-2.49103605535707
FI,2020 Q3,439156.2995,12.992610663999296,-2.49103605535707
FI,2020 Q4,420098.334,12.948244091427163,-2.49103605535707
FI,2021 Q2,462226.023,13.043809277703957,2.67634641498897
FI,2021 Q3,459095.381,13.03701326919781,2.67634641498897
FI,2021 Q4,366235.431,12.811031659682625,2.67634641498897
FI,2022 Q2,434729.483,12.982479238463474,0.763041912763526
FI,2022 Q3,437646.028,12.98916570737394,0.763041912763526
FI,2022 Q4,403755.954,12.908565900159497,0.763041912763526
FI,2023 Q2,454280.164,13.026469388016348,-0.946904862611035
FI,2023 Q3,431418.577,12.974834074133366,-0.946904862611035
FI,2023 Q4,409307.77,12.922222645930896,-0.946904862611035
FI,2024 Q2,390016.54,12.87394442746295,-0.154214821070312
FI,2024 Q3,417479.814,12.941991472403563,-0.154214821070312
FI,2024 Q4,326267.145,12.695471787962385,-0.154214821070312
FI,2025 Q2,416680.821,12.940075790433394,NA
GB,2016 Q2,4612778,15.344340836517405,1.92171009934007
GB,2016 Q3,4560905,15.333031626711294,1.92171009934007
GB,2016 Q4,4407844,15.298896238989002,1.92171009934007
GB,2017 Q2,4640296,15.350288715271192,2.65650487566202
GB,2017 Q3,4667092,15.356046737615308,2.65650487566202
GB,2017 Q4,5064327,15.437731814181088,2.65650487566202
GB,2018 Q2,4931555,15.41116491210726,1.40519025981538
GB,2018 Q3,5027324,15.430398392557192,1.40519025981538
GB,2018 Q4,4923801,15.409591351172482,1.40519025981538
GB,2019 Q2,4952258,15.415354192150954,1.62447518038404
GB,2019 Q3,4893544.5,15.403427445502382,1.62447518038404
GB,2019 Q4,4878544,15.400357372655197,1.62447518038404
GB,2020 Q2,4945440,15.413976497847004,-10.296918859171
GB,2020 Q3,5172303.5,15.458828698513377,-10.296918859171
GB,2020 Q4,5421254,15.505837711968656,-10.296918859171
GB,2021 Q2,5451913,15.51147711422443,8.57595087393024
GB,2021 Q3,5439320,15.509164611018974,8.57595087393024
GB,2021 Q4,5517637,15.523460246890856,8.57595087393024
GB,2022 Q2,5461453,15.5132254295343,4.83908517877134
GB,2022 Q3,5481582,15.516904303393762,4.83908517877134
GB,2022 Q4,5337596,15.49028592230575,4.83908517877134
GB,2023 Q2,5404516,15.502745458329896,0.39708234553963
GB,2023 Q3,5405082.5,15.50285027258373,0.39708234553963
GB,2023 Q4,5591763,15.536805180023393,0.39708234553963
GB,2024 Q2,5714227,15.558469587970109,1.10066786639271
GB,2024 Q3,5889716,15.58871833714779,1.10066786639271
GB,2024 Q4,5854511,15.582723033165726,1.10066786639271
IE,2016 Q1,327505.93,12.699261440763745,1.2226384923421
IE,2016 Q2,311258.594,12.648379337624851,1.2226384923421
IE,2016 Q3,305244.966,12.628869900436476,1.2226384923421
IE,2016 Q4,285765.589,12.56292713484967,1.2226384923421
IE,2017 Q1,284195.077,12.557416172186871,10.0496284821662
IE,2017 Q2,292605.189,12.58657950151891,10.0496284821662
IE,2017 Q3,302782.797,12.620770985853568,10.0496284821662
IE,2017 Q4,291589.891,12.583103611163176,10.0496284821662
IE,2018 Q1,302603.141,12.620177460322177,7.5443421414267
IE,2018 Q2,288419.606,12.572171664051748,7.5443421414267
IE,2018 Q3,283513.327,12.555014409863405,7.5443421414267
IE,2018 Q4,337206.952,12.728452121741915,7.5443421414267
IE,2019 Q1,371514.478,12.825343114116777,5.04054996161159
IE,2019 Q2,384537.604,12.859796862885675,5.04054996161159
IE,2019 Q3,400905.331,12.90148059612263,5.04054996161159
IE,2019 Q4,407333.923,12.917388577671362,5.04054996161159
IE,2020 Q1,448358.513,13.013348443598174,7.1578988000836
IE,2020 Q2,438209.814,12.990453102058847,7.1578988000836
IE,2020 Q3,448483.482,13.01362713037133,7.1578988000836
IE,2020 Q4,517358.497,13.1564913309825,7.1578988000836
IE,2021 Q1,495202.4,13.112721846867435,16.2556135233358
IE,2021 Q2,496551.122,13.115441721920131,16.2556135233358
IE,2021 Q3,490327.392,13.102828593914793,16.2556135233358
IE,2021 Q4,447124.392,13.01059211676168,16.2556135233358
IE,2022 Q1,477805.876,13.076959811830875,8.61950345618772
IE,2022 Q2,446610.621,13.009442400013157,8.61950345618772
IE,2022 Q3,496682.426,13.115706118951483,8.61950345618772
IE,2022 Q4,499528.803,13.121420539071924,8.61950345618772
IE,2023 Q1,523193.441,13.167706542731562,-5.5300073886596
IE,2023 Q2,536900.423,13.193567924266562,-5.5300073886596
IE,2023 Q3,537651.639,13.19496611826562,-5.5300073886596
IE,2023 Q4,521471.275,13.164409470410238,-5.5300073886596
IE,2024 Q1,519837.098,13.161270768400426,1.22133429898928
IE,2024 Q2,524916.262,13.17099402789975,1.22133429898928
IE,2024 Q3,568501.882,13.250759902633387,1.22133429898928
IE,2024 Q4,556407.078,13.229255460014496,1.22133429898928
IE,2025 Q1,604471.945,13.312110537703585,NA
IT,2016 Q2,483148.663,13.08807967616708,1.23622108511661
IT,2016 Q3,470557.9215,13.061674336700541,1.23622108511661
IT,2016 Q4,438434.441,12.990965572205397,1.23622108511661
IT,2017 Q2,472241.257,13.065245271693174,1.60369995294101
IT,2017 Q3,477391.87450000003,13.076092972423629,1.60369995294101
IT,2017 Q4,505641.641,13.133583477996206,1.60369995294101
IT,2018 Q2,527883.753,13.17663137367585,0.826646712344115
IT,2018 Q3,526640.037,13.174272552398477,0.826646712344115
IT,2018 Q4,505850.116,13.133995690951002,0.826646712344115
IT,2019 Q2,536294.674,13.19243905391294,0.429162533780342
IT,2019 Q3,531722.9145,13.18387779523485,0.429162533780342
IT,2019 Q4,546073.806,13.21050942141579,0.429162533780342
IT,2020 Q2,592308.81,13.291783416373582,-8.86822122185345
IT,2020 Q3,629252.8035,13.352288368291571,-8.86822122185345
IT,2020 Q4,703642.952,13.464026336031198,-8.86822122185345
IT,2021 Q2,679508.95,13.429125683936189,8.93106210800055
IT,2021 Q3,659962.4654999999,13.399938241930878,8.93106210800055
IT,2021 Q4,666934.011,13.410446385970483,8.93106210800055
IT,2022 Q2,697259.225,13.454912535950797,4.82117669913565
IT,2022 Q3,701615.7625,13.461141186292874,4.82117669913565
IT,2022 Q4,756555.312,13.536530925201971,4.82117669913565
IT,2023 Q2,780940.986,13.568254863866992,0.715372500867531
IT,2023 Q3,770159.135,13.554352441307975,0.715372500867531
IT,2023 Q4,758421.823,13.538995004561698,0.715372500867531
IT,2024 Q2,758725.717,13.539395616889836,0.725792380234424
IT,2024 Q3,862884.7195,13.668036380030415,0.725792380234424
IT,2024 Q4,886186.148,13.694682306842246,0.725792380234424
IT,2025 Q2,1099461.586,13.910331150667663,NA
NL,2016 Q1,1196083.358,13.994562908388383,2.42428572955482
NL,2016 Q2,1220392.9,14.014683414043061,2.42428572955482
NL,2016 Q3,1165532.051,13.968688236865336,2.42428572955482
NL,2016 Q4,1046032.995,13.86051546708656,2.42428572955482
NL,2017 Q1,1078016.33,13.89063317875935,2.78154619309936
NL,2017 Q2,1117442.494,13.926553144637944,2.78154619309936
NL,2017 Q3,1104452.506,13.914860300465069,2.78154619309936
NL,2017 Q4,1092293.687,13.90379034326719,2.78154619309936
NL,2018 Q1,1099280.861,13.910166761245288,2.2587403735731
NL,2018 Q2,1079530.83,13.892037088047479,2.2587403735731
NL,2018 Q3,1068466.002,13.881734534798062,2.2587403735731
NL,2018 Q4,1019794.25,13.835111449226835,2.2587403735731
NL,2019 Q1,1061931.402,13.87559988547745,2.30009157916757
NL,2019 Q2,1125479.724,13.933719924062252,2.30009157916757
NL,2019 Q3,1149465.828,13.954807895035797,2.30009157916757
NL,2019 Q4,1123560.573,13.93201328370692,2.30009157916757
NL,2020 Q1,1217477.869,14.01229195636094,-3.86795333823223
NL,2020 Q2,1224700.666,14.018207017815877,-3.86795333823223
NL,2020 Q3,1247009.765,14.036259055425418,-3.86795333823223
NL,2020 Q4,1233217.108,14.025136847749025,-3.86795333823223
NL,2021 Q1,1280353.918,14.062647096114652,6.2768306708326
NL,2021 Q2,1248415.345,14.037385581036638,6.2768306708326
NL,2021 Q3,1264570.535,14.050243124477541,6.2768306708326
NL,2021 Q4,1209560.497,14.005767625970686,6.2768306708326
NL,2022 Q1,1253063.143,14.041101626064204,5.00723455159611
NL,2022 Q2,1316458.807,14.090455967645449,5.00723455159611
NL,2022 Q3,1315551.563,14.089766575197553,5.00723455159611
NL,2022 Q4,1432480.453,14.174918082102714,5.00723455159611
NL,2023 Q1,1426248.842,14.170558368238725,0.0745608349011775
NL,2023 Q2,1466735.648,14.198549841841649,0.0745608349011775
NL,2023 Q3,1461944.962,14.19527827289241,0.0745608349011775
NL,2023 Q4,1411454.473,14.160131271816143,0.0745608349011775
NL,2024 Q1,1420996.672,14.166869065063828,0.979674921515965
NL,2024 Q2,1421113.707,14.166951422878592,0.979674921515965
NL,2024 Q3,1497661.731,14.21941560380787,0.979674921515965
NL,2024 Q4,1377375.316,14.135690301211959,0.979674921515965
NL,2025 Q1,1376066.681,14.134739756330347,NA
NO,2016 Q2,211822.502,12.263503948243677,1.16472423928819
NO,2016 Q3,212818.88150000002,12.268196761366838,1.16472423928819
NO,2016 Q4,207757.202,12.244125378783487,1.16472423928819
NO,2017 Q2,208871.534,12.249474672103526,2.46374626574153
NO,2017 Q3,221150.45299999998,12.306598531677825,2.46374626574153
NO,2017 Q4,227908.346,12.336698835888374,2.46374626574153
NO,2018 Q2,223090.382,12.315332268778645,0.828931500516902
NO,2018 Q3,227098.614,12.333139625036717,0.828931500516902
NO,2018 Q4,212857.386,12.268377671147555,0.828931500516902
NO,2019 Q2,234296.755,12.36434377463472,1.12374694968757
NO,2019 Q3,225696.207,12.326945157170394,1.12374694968757
NO,2019 Q4,225462.427,12.325908803199503,1.12374694968757
NO,2020 Q2,219317.414,12.298275338458136,-1.27817177234034
NO,2020 Q3,219844.1245,12.300674049212036,-1.27817177234034
NO,2020 Q4,399797.685,12.898713910636475,-1.27817177234034
NO,2021 Q2,399827.569,12.898788655649502,3.90868676830634
NO,2021 Q3,392800.1995,12.881056363354375,3.90868676830634
NO,2021 Q4,368045.327,12.815961380761772,3.90868676830634
NO,2022 Q2,371236.905,12.824595695749677,3.24622860260932
NO,2022 Q3,370740.14300000004,12.823256672998061,3.24622860260932
NO,2022 Q4,364224.733,12.805526354458575,3.24622860260932
NO,2023 Q2,360632.875,12.795615753094463,0.0721204806030329
NO,2023 Q3,365235.56799999997,12.80829781616974,0.0721204806030329
NO,2023 Q4,386199.494,12.864109338773725,0.0721204806030329
NO,2024 Q2,370793.506,12.823400599036116,2.10045327837291
NO,2024 Q3,389001.83999999997,12.871339352666517,2.10045327837291
NO,2024 Q4,344097.06,12.748679047721172,2.10045327837291
NO,2025 Q2,405285.712,12.912347559095915,NA
SE,2016 Q2,252637.664,12.439711583088267,2.34974080709026
SE,2016 Q3,253000.6995,12.44114753252797,2.34974080709026
SE,2016 Q4,216880.248,12.287100627661381,2.34974080709026
SE,2017 Q2,345166.576,12.751782408474595,1.8251560179849
SE,2017 Q3,352740.33550000004,12.773487471749378,1.8251560179849
SE,2017 Q4,316338.078,12.664566787757732,1.8251560179849
SE,2018 Q2,346229.778,12.754857931890083,1.90296457254834
SE,2018 Q3,331849.331,12.712436322600968,1.90296457254834
SE,2018 Q4,310670.411,12.646487857502095,1.90296457254834
SE,2019 Q2,259813.219,12.467718263371486,2.54964787203104
SE,2019 Q3,269102.0595,12.502845989974452,2.54964787203104
SE,2019 Q4,242645.52,12.399356891856412,2.54964787203104
SE,2020 Q2,255622.663,12.451457663439124,-2.0053375219518
SE,2020 Q3,263463.342,12.48166951774094,-2.0053375219518
SE,2020 Q4,259607.399,12.466925764946742,-2.0053375219518
SE,2021 Q2,264446.833,12.485395500623587,5.93750858896414
SE,2021 Q3,265454.18200000003,12.489197532267074,5.93750858896414
SE,2021 Q4,232761.539,12.357769770709565,5.93750858896414
SE,2022 Q2,368865.241,12.818186655778701,1.45928849980044
SE,2022 Q3,355963.6145,12.782583798150057,1.45928849980044
SE,2022 Q4,360287.054,12.794656364922174,1.45928849980044
SE,2023 Q2,687989.599,13.441528999068648,-0.114161935397789
SE,2023 Q3,678594.255,13.427778665337103,-0.114161935397789
SE,2023 Q4,631491.516,13.355839786003102,-0.114161935397789
SE,2024 Q2,663533.243,13.405334233986125,0.973832212948594
SE,2024 Q3,682889.9045,13.434088931562707,0.973832212948594
SE,2024 Q4,560786.451,13.237095454282269,0.973832212948594
SE,2025 Q2,671047.434,13.416595104960509,NA
