id,quarter,value,log_value,index
IE,2024 Q4,556407.078,13.229255460014496,136.5972845821633
IE,2025 Q1,604471.945,13.312110537703585,148.3971530159053
LU,2016 Q3,1097.92,7.001172759670085,5706.444906444907
LU,2016 Q4,2999.23,8.006110868039054,15588.513513513515
LU,2017 Q2,152.13,5.0247354184750375,790.6964656964658
LU,2017 Q3,3049.4749999999995,8.02272472363765,15849.66216216216
LU,2019 Q4,19.24,2.9569914452375605,100
LU,2020 Q3,9922.89,9.202599488495547,51574.27234927235
LU,2020 Q4,8062.46,8.99497399985141,41904.67775467776
LU,2021 Q2,1260.13,7.138970169226565,6549.532224532226
LU,2021 Q3,97.655,4.581440859288855,507.5623700623701
LU,2022 Q2,55.39,4.014399072045013,287.8898128898129
LU,2022 Q3,313.83000000000004,5.748851438023779,1631.1330561330565
LU,2022 Q4,2721.74,7.909026660647807,14146.257796257798
LU,2024 Q3,530957.26,13.182436807342427,2759653.118503119
LU,2024 Q4,189044.62,12.149738350834268,982560.3950103951
NL,2016 Q3,1165532.051,13.968688236865336,103.73557768122217
NL,2016 Q4,1046032.995,13.86051546708656,93.09983103153976
NL,2017 Q2,1117442.494,13.926553144637944,99.45547403967154
NL,2017 Q3,1104452.506,13.914860300465069,98.29932916309266
NL,2019 Q4,1123560.573,13.93201328370692,100
NL,2020 Q3,1247009.765,14.036259055425418,110.98731968409858
NL,2020 Q4,1233217.108,14.025136847749025,109.75973504545534
NL,2021 Q2,1248415.345,14.037385581036638,111.11242019347718
NL,2021 Q3,1264570.535,14.050243124477541,112.5502768064824
NL,2021 Q4,1209560.497,14.005767625970686,107.65423120627783
NL,2022 Q1,1253063.143,14.041101626064204,111.52608707639298
NL,2022 Q2,1316458.807,14.090455967645449,117.16847659445237
NL,2022 Q3,1315551.563,14.089766575197553,117.08772936801869
NL,2022 Q4,1432480.453,14.174918082102714,127.4947241317981
NL,2023 Q1,1426248.842,14.170558368238725,126.94009350931539
NL,2023 Q2,1466735.648,14.198549841841649,130.54353127430363
NL,2023 Q3,1461944.962,14.19527827289241,130.11714696400264
